id_x,name_x,fullName,countryId,bestChampionshipPosition,bestStartingGridPosition,bestRaceResult,totalChampionshipWins,totalRaceEntries,totalRaceStarts,totalRaceWins,total1And2Finishes,totalRaceLaps,totalPodiums,totalPodiumRaces,totalPoints,totalChampionshipPoints,totalPolePositions,totalFastestLaps,name_y
adams,Adams,Adams,united-states-of-america,,17.0,27.0,0,1,1,0,0,108,0,0,0.0,0.0,0,0,United States of America
afm,AFM,Alex von Falkenhausen Motorenbau,germany,,9.0,9.0,0,4,4,0,0,98,0,0,0.0,0.0,0,0,Germany
ags,AGS,Automobiles Gonfaronnaises Sportives,france,11.0,10.0,6.0,0,80,48,0,0,2031,0,0,2.0,2.0,0,0,France
alfa-romeo,Alfa Romeo,Alfa Romeo Racing,italy,6.0,1.0,1.0,0,214,214,10,4,20608,26,18,199.0,199.0,12,16,Italy
alfa-special,Alfa Special,Alfa Special,south-africa,,16.0,10.0,0,2,2,0,0,132,0,0,0.0,0.0,0,0,South Africa
alphatauri,AlphaTauri,Scuderia AlphaTauri,italy,6.0,2.0,1.0,0,83,83,1,0,8865,2,2,309.0,309.0,0,2,Italy
alpine,Alpine,Alpine F1 Team,france,4.0,2.0,1.0,0,88,88,1,0,9513,6,5,497.0,497.0,0,1,France
alta,Alta,Alta Car and Engineering Company,united-kingdom,,12.0,9.0,0,5,5,0,0,311,0,0,0.0,0.0,0,0,United Kingdom
amon,Amon,Chris Amon Racing,new-zealand,,20.0,,0,4,1,0,0,22,0,0,0.0,0.0,0,0,New Zealand
andrea-moda,Andrea Moda,Andrea Moda Formula,italy,,26.0,,0,10,1,0,0,11,0,0,0.0,0.0,0,0,Italy
apollon,Apollon,Apollon,switzerland,,,,0,1,0,0,0,0,0,0,0.0,0.0,0,0,Switzerland
arrows,Arrows,Arrows Grand Prix International,united-kingdom,5.0,1.0,2.0,0,296,291,0,0,24515,8,8,142.0,142.0,1,0,United Kingdom
arzani-volpini,Arzani-Volpini,Scuderia Arzani-Volpini,italy,,,,0,1,0,0,0,0,0,0,0.0,0.0,0,0,Italy
aston-butterworth,Aston Butterworth,Aston Butterworth,united-kingdom,,15.0,,0,4,2,0,0,19,0,0,0.0,0.0,0,0,United Kingdom
