id_x,name_x,countryId,bestChampionshipPosition,bestStartingGridPosition,bestRaceResult,totalChampionshipWins,totalRaceEntries,totalRaceStarts,totalRaceWins,totalRaceLaps,totalPodiums,totalPodiumRaces,totalPoints,totalChampionshipPoints,totalPolePositions,totalFastestLaps,name_y
acer,Acer,taiwan,9.0,4.0,5.0,0,17,17,0,1707,0,0,4.0,4.0,0,0,Taiwan
alfa-romeo,Alfa Romeo,italy,3.0,1.0,1.0,0,225,215,12,17979,40,30,166.0,148.0,15,20,Italy
alta,Alta,united-kingdom,,6.0,3.0,0,29,26,0,2610,1,1,0.0,0.0,0,0,United Kingdom
arrows,Arrows,united-kingdom,7.0,6.0,4.0,0,32,32,0,2254,0,0,7.0,7.0,0,0,United Kingdom
asiatech,Asiatech,france,9.0,13.0,5.0,0,34,33,0,2826,0,0,3.0,3.0,0,0,France
aston-martin,Aston Martin,united-kingdom,,2.0,6.0,0,6,5,0,518,0,0,0.0,0.0,0,0,United Kingdom
ats,ATS,italy,,13.0,11.0,0,7,7,0,303,0,0,0.0,0.0,0,0,Italy
bmw,BMW,germany,2.0,1.0,1.0,0,273,270,20,31993,86,76,1021.0,1021.0,33,33,Germany
borgward,Borgward,germany,,16.0,10.0,0,2,1,0,139,0,0,0.0,0.0,0,0,Germany
bpm,BPM,italy,,,,0,1,0,0,0,0,0,0.0,0.0,0,0,Italy
bristol,Bristol,united-kingdom,,3.0,3.0,0,17,17,0,2318,1,1,0.0,0.0,0,0,United Kingdom
brm,BRM,united-kingdom,1.0,1.0,1.0,1,200,189,18,31681,65,55,605.5,451.0,11,14,United Kingdom
bugatti,Bugatti,france,,18.0,,0,1,1,0,18,0,0,0.0,0.0,0,0,France
butterworth,Butterworth,united-kingdom,,15.0,,0,4,2,0,19,0,0,0.0,0.0,0,0,United Kingdom
bwt-mercedes,BWT Mercedes,austria,4.0,1.0,1.0,0,38,38,1,4156,4,3,283.0,268.0,1,0,Austria
castellotti,Castellotti,italy,5.0,4.0,4.0,0,4,3,0,184,0,0,3.0,3.0,0,0,Italy
climax,Climax,united-kingdom,1.0,1.0,1.0,4,98,97,40,33308,104,63,864.5,610.0,44,45,United Kingdom
cosworth,Cosworth,united-kingdom,6.0,1.0,3.0,0,199,199,0,37066,2,2,179.0,179.0,1,1,United Kingdom
cummins,Cummins,united-states-of-america,,1.0,27.0,0,2,2,0,123,0,0,0.0,0.0,1,0,United States of America
de-tomaso,De Tomaso,italy,,,,0,1,0,0,0,0,0,0.0,0.0,0,0,Italy
emw,EMW,germany,,24.0,,0,1,1,0,12,0,0,0.0,0.0,0,0,Germany
era,ERA,united-kingdom,,10.0,6.0,0,4,4,0,452,0,0,0.0,0.0,0,0,United Kingdom
european,European,united-kingdom,11.0,17.0,9.0,0,17,17,0,1417,0,0,0.0,0.0,0,0,United Kingdom
ferrari,Ferrari,italy,1.0,1.0,1.0,16,1100,1098,249,202124,832,633,11633.0,11277.0,255,273,Italy
fondmetal,Fondmetal,italy,10.0,18.0,8.0,0,17,17,0,1755,0,0,0.0,0.0,0,0,Italy
