day,date,inventory_level,demand,lead_time,transport_cost,remaining_inventory,replenishment,delayed_replenishment
1,2023-02-25,53,2,69.09805141220207,1444.013571985656,53,0,0
2,2023-02-26,47,4,3.0,74.92041136663008,47,0,0
3,2023-02-27,39,3,3.0,140.14496782415233,39,0,0
4,2023-02-28,39,3,3.0,109.4551512262857,39,0,0
5,2023-03-01,42,3,4.0,92.81420850661266,42,0,0
6,2023-03-02,43,2,3.0,62.295302095850225,43,0,0
7,2023-03-03,41,4,3.0,149.95847530247147,41,0,0
8,2023-03-04,42,2,3.0,59.45287390301894,42,0,0
9,2023-03-05,-46,101,68.09805141220207,1397.2137703287526,-46,100,0
10,2023-03-06,50,4,2.0,136.21881189008445,50,0,0
11,2023-03-07,47,4,2.0,126.6709207940424,47,0,0
12,2023-03-08,44,3,4.0,101.94236203451293,44,0,0
13,2023-03-09,44,3,3.0,142.41311374057432,44,0,0
14,2023-03-10,38,3,2.0,145.60948464017545,38,0,0
15,2023-03-11,39,3,4.0,84.94990649162244,39,0,0
16,2023-03-12,49,1,3.0,141.6193438027523,49,0,0
17,2023-03-13,52,3,4.0,105.4148200817445,52,0,0
18,2023-03-14,41,4,2.0,98.37024426150069,41,0,0
19,2023-03-15,48,4,2.0,68.55217754398979,48,0,0
20,2023-03-16,40,4,2.0,128.72491809599433,40,0,0
21,2023-03-17,55,3,2.0,92.76949449701304,55,0,0
22,2023-03-18,53,2,2.0,61.40098547873839,53,0,0
23,2023-03-19,-26,73,69.15918742005141,1438.2238746749877,-26,100,0
24,2023-03-20,51,3,3.0,52.10990453659586,51,0,0
25,2023-03-21,49,3,2.0,92.15121400993793,49,0,0
26,2023-03-22,44,1,4.0,62.32419224150469,44,0,0
27,2023-03-23,52,4,2.0,57.515331019818696,52,0,0
28,2023-03-24,46,3,4.0,146.86844992390357,46,0,0
29,2023-03-25,55,1,2.0,70.48375695308626,55,0,0
30,2023-03-26,46,4,4.0,141.54554205438203,46,0,0
31,2023-03-27,41,1,4.0,77.13733959407537,41,0,0
32,2023-03-28,53,3,2.0,118.7678395778309,53,0,0
33,2023-03-29,48,3,2.0,104.89701886228288,48,0,0
34,2023-03-30,41,2,4.0,108.36822383804451,41,0,0
35,2023-03-31,44,1,3.0,108.47630737572203,44,0,0
36,2023-04-01,39,2,4.0,77.4298772247831,39,0,0
37,2023-04-02,-149,202,139.19750321045709,2829.7810183897054,-149,100,0
38,2023-04-03,51,3,2.0,57.946544942277775,51,0,0
39,2023-04-04,37,3,3.0,116.20175552751576,37,0,0
40,2023-04-05,36,4,3.0,76.68650482108762,36,0,0
41,2023-04-06,37,4,4.0,132.85124386460564,37,0,0
42,2023-04-07,49,2,4.0,125.56925156387433,49,0,0
43,2023-04-08,45,1,3.0,110.85863138117085,45,0,0
44,2023-04-09,55,4,3.0,92.8831697619497,55,0,0
45,2023-04-10,45,3,4.0,64.89739616976932,45,0,0
46,2023-04-11,55,3,4.0,123.62857027647341,55,0,0
47,2023-04-12,50,1,2.0,86.34315861789793,50,0,0
48,2023-04-13,42,2,3.0,103.47860220229475,42,0,0
49,2023-04-14,42,4,2.0,145.70604866459945,42,0,0
50,2023-04-15,52,4,2.0,57.99775399300782,52,0,0
